nge_object_id,field_id,sport_name,confidence,predicted_field_type,predicted_sport_type,detected_sport,actual_sport,actual_field_type,Zoom Level
984,9798,Tennis,"0.93, 0.91, 0.87, 0.88, 0.87, 0.85, 0.85, 0.84, 0.82, 0.81, 0.75",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
985,9798,Tennis,"0.91, 0.90, 0.86, 0.90, 0.90, 0.85, 0.85, 0.85, 0.82, 0.82, 0.76",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
986,9798,Tennis,"0.92, 0.90, 0.89, 0.90, 0.89, 0.88, 0.87, 0.84, 0.82, 0.76, 0.53",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
987,9798,Tennis,"0.91, 0.90, 0.87, 0.90, 0.87, 0.86, 0.86, 0.86, 0.85, 0.83, 0.66",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
988,9798,Tennis,"0.89, 0.88, 0.87, 0.88, 0.87, 0.86, 0.85, 0.85, 0.84, 0.80, 0.57",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
989,9798,Tennis,"0.89, 0.89, 0.88, 0.89, 0.88, 0.85, 0.85, 0.84, 0.84, 0.84, 0.68",Synthetic,Tennis,Tennis,Tennis,Synthetic,0
990,9799,Tennis,"0.90, 0.70, 0.54, 0.47",Buildings,Buildings,"Soccer, Tennis, Baseball","Baseball, tennis","grass, cement",1
991,9799,Baseball,"0.91, 0.90, 0.72, 0.60",Turf,Baseball,"Soccer, Tennis, Baseball",Baseball,grass,0
992,9800,Tennis,"0.89, 0.89, 0.87, 0.88, 0.87, 0.86, 0.86, 0.83, 0.70, 0.67, 0.64, 0.61, 0.49",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
993,9800,Tennis,"0.89, 0.89, 0.87, 0.87, 0.87, 0.84, 0.67, 0.66, 0.64, 0.64, 0.61",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
994,9800,Tennis,"0.89, 0.89, 0.87, 0.88, 0.87, 0.86, 0.85, 0.85, 0.75, 0.74, 0.66, 0.63",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
995,9800,Tennis,"0.89, 0.88, 0.85, 0.88, 0.86, 0.85, 0.77, 0.73, 0.72, 0.45",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
996,9800,Tennis,"0.88, 0.87, 0.85, 0.87, 0.85, 0.83, 0.81, 0.68, 0.64",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
997,9800,Tennis,"0.90, 0.89, 0.87, 0.88, 0.88, 0.87, 0.71, 0.70, 0.69, 0.65, 0.47",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
998,9800,Tennis,"0.89, 0.88, 0.86, 0.87, 0.86, 0.84, 0.78, 0.77, 0.74, 0.59",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
999,9802,Tennis,"0.87, 0.86, 0.85, 0.86, 0.85, 0.84",Synthetic,Tennis,Tennis,Tennis,synthetic,0
1000,9802,Tennis,"0.89, 0.88, 0.87, 0.87, 0.87, 0.85, 0.79",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
1001,9802,Tennis,"0.87, 0.86, 0.84, 0.86, 0.85, 0.83",Synthetic,Tennis,Tennis,Tennis,synthetic,0
1002,9802,Tennis,"0.89, 0.89, 0.86, 0.89, 0.87, 0.84, 0.76",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
1003,9802,Tennis,"0.89, 0.88, 0.84, 0.85, 0.84, 0.83",Synthetic,Tennis,Tennis,Tennis,synthetic,0
1004,9802,Tennis,"0.92, 0.89, 0.86, 0.88, 0.88, 0.86, 0.84",Synthetic,Tennis,"Tennis, Baseball",Tennis,synthetic,0
1005,9803,Tennis,"0.79, 0.66, 0.47",Synthetic,Tennis,Tennis,Tennis,cement,0
1006,9803,Stadium,"0.78, 0.74, 0.65",Synthetic,Basketball,Tennis,N/A,N/A,1
1007,9809,Tennis,"0.89, 0.86, 0.86, 0.62",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1008,9809,Tennis,"0.86, 0.86, 0.86, 0.48",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1009,9809,Tennis,"0.88, 0.86, 0.85, 0.58",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1010,9809,Stadium,"0.87, 0.86, 0.82, 0.64",Grass,Soccer,"Tennis, Stadium",Soccer,Grass,1
1011,9812,Tennis,"0.89, 0.86, 0.86, 0.62",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1012,9812,Tennis,"0.86, 0.86, 0.86, 0.48",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1013,9812,Tennis,"0.88, 0.86, 0.85, 0.58",Synthetic,Tennis,"Tennis, Stadium",Tennis,Synthetic,0
1014,9812,Stadium,"0.87, 0.86, 0.82, 0.64",Grass,Soccer,"Tennis, Stadium",Soccer,Grass,1
1015,9817,Baseball,"0.83, 0.57",Buildings,Buildings,"Basketball, Baseball","Baseball, Soccer, Basketball, Tennis","turf, concrete, synthetic",1
1016,9823,Tennis,"0.90, 0.70, 0.54, 0.47",Buildings,Buildings,"Soccer, Tennis, Baseball","Baseball, Tennis","grass, cement",1
1017,9823,Baseball,"0.91, 0.90, 0.72, 0.60",Turf,Baseball,"Soccer, Tennis, Baseball",Baseball,grass,0
1018,9825,Baseball,0.85,Buildings,Buildings,Baseball,"Baseball, Soccer, Basketball, Tennis","turf, concrete, synthetic",1
1019,9825,Basketball,0.91,Buildings,Buildings,Baseball,Basketball,cement,1
1020,9826,Baseball,"0.95, 0.89, 0.57, 0.83, 0.67",Synthetic,Basketball,"Tennis, Baseball",Baseball,grass,0
,,,,,,,,,
,,,,,,,,,
,,,,Problems,,,,,
,,,,1,There are duplications on Images multiple times and same field image is available for numerous field and nge object id.,,,,
,,,,2,There are 100 images produced without any nge_object_id but with a field_search_id and 'Unknown Field Type' as Sports name.,,,,
,,,,3,Some incorrect Sports name were assigned to some of those 100 images with no nge_object_id.,,,,
